Column1;Column2;Column3;Column4;Column5;Column6
;50;365;2801;3626;4676
;40;365;3121;5381;15281
;40;365;3121;4501;16381
;50;365;1700;3200;16550
;40;365;3401;4421;13101
;50;365;-1850;-530;1480
;50;365;3750;6250;20250
;50;365;3751;5251;20250
;;;5453;6953;22250
;;;5100;6400;22250
;40;365;3400;5400;16600
;40;365;3360;;
;40;365;1940;;
;50;365;5500;7500;22250
;;;;;
;50;365;1250;2650;19250
;50;365;5500;5500;22250
;40;365;3500;4400;15600
;40;365;8200;13200;16600
;40;365;3080;4600;16600
;50;365;;;20250
;40;365;3440;3440;15600
;;365;;;
;40;365;2120;3280;15600
;50;;;6900;22250
;40;365;4900;4900;16600
;40;365;4000;5000;16600
;50;365;3400;5000;20250
;125;;;;54625
;40;;3441;4541;16600
